Position,MarketValue,Unrealized_PnL,Type
COIN,204569.03,-88919.15,crypto-beta
TONX,44597.00,-4836.00,crypto-beta
ACN,123456.00,-4102.41,Stock
PYPL,65432.00,-3866.50,Stock
NKE,54321.00,-2858.90,Stock
ADBE,45678.00,-2618.00,Stock
ARE,23456.00,-1094.40,Stock
CAG,12345.00,-932.00,Stock
ORCL,34567.00,-959.92,Stock
COUR,9876.00,-870.00,Stock
LYFT,8765.00,-828.00,Stock
CMCSA,23456.00,-580.50,Stock
MSFT,87654.00,-723.03,Stock
EPAM,12345.00,-596.50,Stock
FIS,9876.00,-553.80,Stock
ESTC,7654.00,-541.60,Stock
META,76543.00,-394.20,Stock
GIS,23456.00,-327.60,Stock
DLB,5432.00,-318.00,Stock
PEP,65432.00,-90.30,Stock
CVNA,23456.00,-224.40,Stock
KHC,34567.00,-19.25,Stock
HIMS,5432.00,-258.00,Stock
PFE,23456.00,46.00,Stock
VSNT,1000.00,-17.52,Stock
CRCL,10789.00,-1170.85,crypto-beta
GSY,5432.00,15.00,Stock
VXUS,8765.00,-28.37,Stock
SOFI,12345.00,-71.25,crypto-beta
ROBO,7654.00,-56.40,Stock
CRM,23456.00,84.10,Stock
O,12345.00,139.20,Stock
SPLV,7654.00,136.10,Stock
CVX,34567.00,302.40,Stock
BRK.B,87654.00,128.52,Stock
BTC,12345.00,74.83,crypto-beta
LNG,23456.00,251.10,Stock
IBKR,7654.00,210.94,crypto-beta
KO,23456.00,252.75,Stock
MSCI,23456.00,160.85,Stock
XOM,34567.00,304.00,Stock
SCHD,23456.00,294.50,Stock
BMY,23456.00,358.25,Stock
VTR,12345.00,362.55,Stock
AMD,23456.00,354.65,Stock
VWO,23456.00,267.95,Stock
KVUE,23456.00,444.00,Stock
DDOG,12345.00,465.70,Stock
XLI,23456.00,412.50,Stock
AMZN,76543.00,493.28,Stock
AAL,12345.00,384.00,Stock
AVGO,123456.00,852.21,Stock
TXN,23456.00,631.70,Stock
HRMY,12345.00,723.80,Stock
VHT,12345.00,821.94,Stock
QCOM,76543.00,787.41,Stock
PSLV,23456.00,771.65,Comodity
ENOR,12345.00,1039.00,Stock
INTC,12345.00,1404.00,Stock
ILF,23456.00,1745.60,Stock
XLE,34567.00,2406.56,Stock
RDDT,12345.00,1695.60,Stock
OUST,7654.00,1453.60,Stock
ASML,34567.00,1887.12,Stock
EWZ,23456.00,2065.54,Stock
GDX,23456.00,2526.30,Stock
RSP,23456.00,3232.01,Stock
VEA,23456.00,3141.60,Stock
HOOD,23456.00,3369.60,crypto-beta
URNM,23456.00,3936.21,Stock
TSLA,123456.00,4378.99,Stock
PHYS,23456.00,5437.04,Comodity
VOO,87654.00,7327.93,Stock
GOOG,123456.00,7790.74,Stock
MRVL,76543.00,10848.75,Stock
NEM,123456.00,24438.01,Stock
Cash Holdings,6314.51,6313.51,Cash
